session_esm,modified_esm,ended_esm,created_esm,sleep_1,sleep_2,sad,calm,afraid,unrested,enthusiastic,angry,worried,subc_psycho,cheerful,irritated,active,event_pleasantness,homeo_hungry,homeo_craving,homeo_howmuch,homeo_full,eating_1,eating_2,eating_3,eating_4,alcohol,coffee,ple_control,ple_strange,ple_thoughts,ple_suspicion,ple_treatment,ple_perception,ple_thougtscontrol,ple_familiarstrange
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-05T14:02:05Z,2021-04-05T14:02:05Z,2021-04-05T14:00:52Z,NA,NA,1,5,1,2,5,1,3,1,5,1,6,6,4,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-05T18:22:45Z,2021-04-05T18:22:45Z,2021-04-05T18:21:22Z,NA,NA,1,4,1,2,5,1,3,1,4,2,5,6,1,1,1,5,1,1,1,3,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-06T09:12:01Z,2021-04-06T09:12:01Z,2021-04-06T08:23:14Z,7,6,1,5,1,2,4,1,2,1,4,2,6,5,3,2,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-06T12:30:30Z,2021-04-06T12:30:30Z,2021-04-06T12:28:24Z,NA,NA,1,3,1,5,5,2,4,2,5,1,6,6,2,2,3,3,1,4,2,1,0,1,1,1,1,1,1,1,1,1
BP-UOpcOtfz6H4gO5OxleBBHFw4oiDaNi5uL31IO4XLl_NrllGBUh_0oZv5oh82N,2021-04-08T08:03:48Z,2021-04-08T08:03:48Z,2021-04-08T08:00:57Z,7,7,1,6,1,1,5,1,1,1,5,1,5,6,3,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
vAGcqK6DhBo4FtHxf5f4b1nG764HSEPjSIt8fVgEec5ny__LcCYO3rdVVwBSaCvu,2021-04-08T08:10:03Z,2021-04-08T08:10:03Z,2021-04-08T08:06:03Z,7,6,2,6,1,3,2,2,4,1,3,2,3,3,3,3,3,1,1,1,1,1,0,0,1,2,2,4,3,2,1,3
LEbO9m3R6oxlv1Lg8kUmd776E-eUVLmauJ8DQH32tXBt6CHh1XfOIVXAfYlkPBI7,2021-04-08T08:09:44Z,2021-04-08T08:09:44Z,2021-04-08T08:07:24Z,7,5,3,2,4,3,2,4,5,3,2,4,2,3,4,4,3,2,1,2,1,2,0,2,2,3,1,2,1,1,1,3
xogW899PjeDNDPa62GnUhsyeCX14KFSaSIu0wZkUzX_4nWDwQZNCIVtdanywnG3z,2021-04-08T08:14:12Z,2021-04-08T08:14:12Z,2021-04-08T08:09:49Z,8,6,1,6,1,1,4,1,1,1,4,1,5,5,1,1,1,3,1,1,1,1,0,0,1,3,1,1,1,1,1,1
0HdwLHxwz3gbrgDYzDQXn8pn4P9S-JALx2Cxu0R7Y71NUOAvWcX1oIGwAwrcHW-1,2021-04-08T08:16:20Z,2021-04-08T08:16:20Z,2021-04-08T08:13:18Z,6,6,1,5,1,1,5,1,1,1,5,1,5,6,1,1,1,4,1,4,1,1,0,1,1,1,1,1,1,1,1,1
Lwo0hnhY5nIpzlxu1NB8oDjydpi5S3BlB7n1rfDfGQ60GAbnLuix5B5cm7sb2_Yn,2021-04-08T08:17:42Z,2021-04-08T08:17:42Z,2021-04-08T08:14:37Z,8,8,1,5,1,1,4,2,2,2,5,1,5,4,1,1,1,5,1,4,1,2,0,1,1,1,1,1,1,1,1,1
PWPa_g8Cymd_c1oc2tlhAToB-n5iP-KdlEnbB4YVrttH_F6WqMGlS7UxtyO8E_xz,2021-04-08T08:22:53Z,2021-04-08T08:22:53Z,2021-04-08T08:17:41Z,8,8,1,3,1,4,5,1,5,1,1,1,1,5,1,1,2,1,1,1,1,1,0,0,1,4,1,1,1,1,1,1
fQvVu1qJBDSarUCY1zxLPvexZA6p6o-muUKSvNkU7uYQklL_f_f_HyY_khqBE2Um,2021-04-08T08:25:14Z,2021-04-08T08:25:14Z,2021-04-08T08:22:05Z,NA,8,1,3,2,2,5,1,3,1,3,2,4,5,3,2,3,2,1,1,2,1,0,2,1,2,1,1,1,1,1,1
FHmsCyDsOILt33MManJfOsg2LTIZhXA2r771JQQ0aTEVr9VQmx1eCADihsqM2BCM,2021-04-08T08:31:29Z,2021-04-08T08:31:29Z,2021-04-08T08:28:09Z,7,8,1,2,1,1,4,1,2,1,4,1,5,7,1,2,1,4,4,3,4,1,0,1,2,1,1,1,1,1,1,1
n7hWAnO2e_qVxSi3ROnybEUIuZNNOhSNYxFhxsLNb6zBsGnGZznjxwE6Pi-B58Bu,2021-04-08T08:35:28Z,2021-04-08T08:35:28Z,2021-04-08T08:31:52Z,8,9,1,6,1,1,4,1,1,1,4,1,4,7,5,5,5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
BP-UOpcOtfz6H4gO5OxleBBHFw4oiDaNi5uL31IO4XLl_NrllGBUh_0oZv5oh82N,2021-04-08T10:02:56Z,2021-04-08T10:02:56Z,2021-04-08T10:01:08Z,NA,NA,1,6,1,1,5,1,1,1,5,1,5,6,1,2,2,2,3,2,1,1,0,0,1,1,1,1,1,1,1,1
